canton_name,hospital,Hospital_type,Number_of_outpatient_consultations,"Number_of_care_days_(inpatient,_without_discharge_day",Number_of_healthy_newborns_(inpatient_treatment),Number_of_operating_rooms,Number_of_delivery_rooms,MRI,CT,PET,CC,LB,Lito,Angio,Dia,Physicians,physicians in training,Nursing staff,Other medical personnel,Total staff,"MRI, outpatient","MRI, inpatient","CT, outpatient","CT, inpatient","Angiography, outpatient","Angiography, inpatient","Dialysis, outpatient","Dialysis, inpatient",City,lat,lng
Aargau,Hirslanden Klinik Aarau,Hospital lvl2,50917.0,44022.0,698.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,18.08,7.93,362.6,95.32,619.71,3543.5,320.0,1817.0,995.5,96.0,457.0,250.833333333333,9.0,Aarau,47.3923,8.0446
Aargau,Hirslanden Klinik Aarau,Hospital lvl2,50917.0,44022.0,698.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,18.08,7.93,362.6,95.32,619.71,3316.0,286.0,1696.5,1058.5,192.333333333333,637.333333333333,9.66666666666667,249.666666666667,Aarau,47.3923,8.0446
Aargau,Gesundheitszentrum Fricktal,Hospital lvl3,77930.0,34486.0,411.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77,28.91,275.37,91.57,635.59,2789.0,254.0,2291.0,1546.0,,,,,Rheinfelden,47.5539,7.7958
Aargau,Gesundheitszentrum Fricktal,Hospital lvl3,77930.0,34486.0,411.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.77,28.91,275.37,91.57,635.59,2814.0,274.0,2124.0,1751.0,,,,,Rheinfelden,47.5539,7.7958
Aargau,Gesundheitszentrum Fricktal,Hospital lvl3,77930.0,34486.0,411.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.53,38.96,291.21,97.2,667.76,2789.0,254.0,2291.0,1546.0,,,,,Rheinfelden,47.5539,7.7958
Aargau,Gesundheitszentrum Fricktal,Hospital lvl3,77930.0,34486.0,411.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.53,38.96,291.21,97.2,667.76,2814.0,274.0,2124.0,1751.0,,,,,Rheinfelden,47.5539,7.7958
Aargau,Stiftung Spital Muri,Hospital lvl3,98592.0,31190.0,613.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,91.83,42.02,273.26,99.35,624.98,3025.5,128.0,3401.0,2067.0,,,459.375,8.125,Muri AG,,
Aargau,Stiftung Spital Muri,Hospital lvl3,98592.0,31190.0,613.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,91.83,42.02,273.26,99.35,624.98,2979.0,131.0,3509.0,2031.0,,,306.538461538462,2.53846153846154,Muri AG,,
Aargau,Stiftung Spital Muri,Hospital lvl3,98592.0,31190.0,613.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.17,29.91,268.89,96.08,627.74,3025.5,128.0,3401.0,2067.0,,,459.375,8.125,Muri AG,,
Aargau,Stiftung Spital Muri,Hospital lvl3,98592.0,31190.0,613.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,94.17,29.91,268.89,96.08,627.74,2979.0,131.0,3509.0,2031.0,,,306.538461538462,2.53846153846154,Muri AG,,
Aargau,Spital Zofingen AG,Hospital lvl4,44349.0,24204.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.73,23.97,251.55,84.56,538.98,1997.0,74.0,2875.0,2039.0,,,,,Zofingen,47.2884,7.9475
Aargau,Spital Zofingen AG,Hospital lvl4,44349.0,24204.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.73,23.97,251.55,84.56,538.98,1900.0,121.0,2930.0,2169.0,,,,,Zofingen,47.2884,7.9475
Aargau,Spital Zofingen AG,Hospital lvl4,44349.0,24204.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.88,24.38,253.7,85.67,550.41,1997.0,74.0,2875.0,2039.0,,,,,Zofingen,47.2884,7.9475
Aargau,Spital Zofingen AG,Hospital lvl4,44349.0,24204.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.88,24.38,253.7,85.67,550.41,1900.0,121.0,2930.0,2169.0,,,,,Zofingen,47.2884,7.9475
Aargau,Asana Spital Leuggern AG,Hospital lvl4,12917.0,13443.0,698.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.01,7.96,98.22,29.4,207.33,,,,,,,,,Leuggern,47.5819,8.2194
Aargau,Asana Spital Leuggern AG,Hospital lvl4,12917.0,13443.0,698.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.01,7.96,98.22,29.4,207.33,,,,,,,,,Leuggern,47.5819,8.2194
Aargau,Asana Spital Leuggern AG,Hospital lvl4,12917.0,13443.0,698.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62,8.8,99.74,31.28,213.07,,,,,,,,,Leuggern,47.5819,8.2194
Aargau,Asana Spital Leuggern AG,Hospital lvl4,12917.0,13443.0,698.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62,8.8,99.74,31.28,213.07,,,,,,,,,Leuggern,47.5819,8.2194
Aargau,Asana Spital Menziken AG,Hospital lvl4,16154.0,10765.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84,12.22,73.01,42.7,211.25,,,251.0,460.0,,,,,Menziken,47.24,8.1917
Aargau,Asana Spital Menziken AG,Hospital lvl4,16154.0,10765.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84,12.22,73.01,42.7,211.25,,,616.0,731.0,,,,,Menziken,47.24,8.1917
Aargau,Asana Spital Menziken AG,Hospital lvl4,16154.0,10765.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,10.77,74.97,41.86,205.99,,,251.0,460.0,,,,,Menziken,47.24,8.1917
Aargau,Asana Spital Menziken AG,Hospital lvl4,16154.0,10765.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,10.77,74.97,41.86,205.99,,,616.0,731.0,,,,,Menziken,47.24,8.1917
Aargau,Psychiatrische Dienste Aargau AG,Psychiatric hospital lvl1,118257.0,133846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.19,45.87,440.99,180.79,1039.94,,,,,,,,,Windisch,47.4803,8.2222
Aargau,Psychiatrische Dienste Aargau AG,Psychiatric hospital lvl1,118257.0,133846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.19,45.87,440.99,180.79,1039.94,,,,,,,,,Windisch,47.4803,8.2222
Aargau,Psychiatrische Dienste Aargau AG,Psychiatric hospital lvl1,118257.0,133846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.81,49.56,446.62,203.38,1096.53,,,,,,,,,Windisch,47.4803,8.2222
Aargau,Psychiatrische Dienste Aargau AG,Psychiatric hospital lvl1,118257.0,133846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.81,49.56,446.62,203.38,1096.53,,,,,,,,,Windisch,47.4803,8.2222
Aargau,Schützen Rheinfelden AG Klinik & Ambulatorium,Psychiatric hospital lvl2,29326.0,31654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46,3.59,60.35,47.91,274.58,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Schützen Rheinfelden AG Klinik & Ambulatorium,Psychiatric hospital lvl2,29326.0,31654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.46,3.59,60.35,47.91,274.58,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Schützen Rheinfelden AG Klinik & Ambulatorium,Psychiatric hospital lvl2,29326.0,31654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09,4.52,58.98,50.86,268.92,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Schützen Rheinfelden AG Klinik & Ambulatorium,Psychiatric hospital lvl2,29326.0,31654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09,4.52,58.98,50.86,268.92,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Klinik Im Hasel AG,Psychiatric hospital lvl2,11164.0,20529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,1.98,15.23,28.24,80.27,,,,,,,,,Gontenschwil,47.2733,8.1472
Aargau,Klinik Im Hasel AG,Psychiatric hospital lvl2,11164.0,20529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,1.98,15.23,28.24,80.27,,,,,,,,,Gontenschwil,47.2733,8.1472
Aargau,Klinik Im Hasel AG,Psychiatric hospital lvl2,11164.0,20529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,1.3,17.42,31.2,87.82,,,,,,,,,Gontenschwil,47.2733,8.1472
Aargau,Klinik Im Hasel AG,Psychiatric hospital lvl2,11164.0,20529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.97,1.3,17.42,31.2,87.82,,,,,,,,,Gontenschwil,47.2733,8.1472
Aargau,Klinik für Suchttherapie Drogenentzug / Übergang / Krisenintervention,Psychiatric hospital lvl2,950.0,16376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.4,26.1,57.6,,,,,,,,,Neuenhof,47.4469,8.3292
Aargau,Klinik für Suchttherapie Drogenentzug / Übergang / Krisenintervention,Psychiatric hospital lvl2,950.0,16376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.4,26.1,57.6,,,,,,,,,Neuenhof,47.4469,8.3292
Aargau,Klinik für Suchttherapie Drogenentzug / Übergang / Krisenintervention,Psychiatric hospital lvl2,950.0,16376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.8,29.59,58.09,,,,,,,,,Neuenhof,47.4469,8.3292
Aargau,Klinik für Suchttherapie Drogenentzug / Übergang / Krisenintervention,Psychiatric hospital lvl2,950.0,16376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.8,29.59,58.09,,,,,,,,,Neuenhof,47.4469,8.3292
Aargau,Klinik für Schlafmedizin,Psychiatric hospital lvl2,5701.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,8.57,6.85,25.33,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,Klinik für Schlafmedizin,Psychiatric hospital lvl2,5701.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.0,8.57,6.85,25.33,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,Klinik für Schlafmedizin,Psychiatric hospital lvl2,5701.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,9.0,7.08,27.43,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,Klinik für Schlafmedizin,Psychiatric hospital lvl2,5701.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,0.0,9.0,7.08,27.43,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,Klinik Barmelweid AG,Rehabilitation clinic,20140.0,79156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.27,22.52,161.17,70.58,293.53,,,,,,,,,Barmelweid,,
Aargau,Klinik Barmelweid AG,Rehabilitation clinic,20140.0,79156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.27,22.52,161.17,70.58,293.53,,,,,,,,,Barmelweid,,
Aargau,Klinik Barmelweid AG,Rehabilitation clinic,20140.0,79156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95,21.32,171.19,81.43,321.37,,,,,,,,,Barmelweid,,
Aargau,Klinik Barmelweid AG,Rehabilitation clinic,20140.0,79156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.95,21.32,171.19,81.43,321.37,,,,,,,,,Barmelweid,,
Aargau,Rehaklinik Bellikon,Rehabilitation clinic,18158.0,71355.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.04,13.66,137.44,129.88,516.74,70.0,448.0,9.0,312.0,,,,,Bellikon,47.3891,8.3436
Aargau,Rehaklinik Bellikon,Rehabilitation clinic,18158.0,71355.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.04,13.66,137.44,129.88,516.74,145.0,419.0,14.0,310.0,,,,,Bellikon,47.3891,8.3436
Aargau,Rehaklinik Bellikon,Rehabilitation clinic,18158.0,71355.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.86,20.25,165.09,138.26,563.05,70.0,448.0,9.0,312.0,,,,,Bellikon,47.3891,8.3436
Aargau,Rehaklinik Bellikon,Rehabilitation clinic,18158.0,71355.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.86,20.25,165.09,138.26,563.05,145.0,419.0,14.0,310.0,,,,,Bellikon,47.3891,8.3436
Aargau,RehaClinic Zurzach,Rehabilitation clinic,38404.0,71077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.45,11.16,127.81,99.31,345.19,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,RehaClinic Zurzach,Rehabilitation clinic,38404.0,71077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.45,11.16,127.81,99.31,345.19,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,RehaClinic Zurzach,Rehabilitation clinic,38404.0,71077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.43,13.58,128.08,96.47,337.48,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,RehaClinic Zurzach,Rehabilitation clinic,38404.0,71077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.43,13.58,128.08,96.47,337.48,,,,,,,,,Bad Zurzach,47.5872,8.2944
Aargau,Reha Rheinfelden,Rehabilitation clinic,70984.0,68899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,13.52,162.95,144.68,504.92,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Reha Rheinfelden,Rehabilitation clinic,70984.0,68899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,13.52,162.95,144.68,504.92,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Reha Rheinfelden,Rehabilitation clinic,70984.0,68899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.84,13.46,172.98,153.2,531.36,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Reha Rheinfelden,Rehabilitation clinic,70984.0,68899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.84,13.46,172.98,153.2,531.36,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,aarReha Schinznach Zentrum für Rehabilitation,Rehabilitation clinic,27965.0,41607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76,10.52,82.02,48.26,234.94,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,aarReha Schinznach Zentrum für Rehabilitation,Rehabilitation clinic,27965.0,41607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.76,10.52,82.02,48.26,234.94,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,aarReha Schinznach Zentrum für Rehabilitation,Rehabilitation clinic,27965.0,41607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36,12.25,89.58,53.54,256.95,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,aarReha Schinznach Zentrum für Rehabilitation,Rehabilitation clinic,27965.0,41607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.36,12.25,89.58,53.54,256.95,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,RehaClinic Baden,Rehabilitation clinic,5743.0,21068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19,3.73,30.24,17.29,81.28,,,,,,,,,Baden,47.4729,8.308
Aargau,RehaClinic Baden,Rehabilitation clinic,5743.0,21068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.19,3.73,30.24,17.29,81.28,,,,,,,,,Baden,47.4729,8.308
Aargau,RehaClinic Baden,Rehabilitation clinic,5743.0,21068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,4.58,31.59,15.91,79.62,,,,,,,,,Baden,47.4729,8.308
Aargau,RehaClinic Baden,Rehabilitation clinic,5743.0,21068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,4.58,31.59,15.91,79.62,,,,,,,,,Baden,47.4729,8.308
Aargau,Bad Schinznach AG - Privat-Klinik Im Park,Rehabilitation clinic,9555.0,17266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.99,29.7,221.63,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,Bad Schinznach AG - Privat-Klinik Im Park,Rehabilitation clinic,9555.0,17266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.99,29.7,221.63,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,Bad Schinznach AG - Privat-Klinik Im Park,Rehabilitation clinic,9555.0,17266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,0.0,28.36,30.96,221.44,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,Bad Schinznach AG - Privat-Klinik Im Park,Rehabilitation clinic,9555.0,17266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,0.0,28.36,30.96,221.44,,,,,,,,,Schinznach Bad,47.4497,8.1694
Aargau,Privatklinik SALINA Salina Medizin AG,Rehabilitation clinic,109399.0,9802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,0.0,24.14,52.21,96.31,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Privatklinik SALINA Salina Medizin AG,Rehabilitation clinic,109399.0,9802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,0.0,24.14,52.21,96.31,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Privatklinik SALINA Salina Medizin AG,Rehabilitation clinic,109399.0,9802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.37,22.95,50.9,96.66,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,Privatklinik SALINA Salina Medizin AG,Rehabilitation clinic,109399.0,9802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.82,0.37,22.95,50.9,96.66,,,,,,,,,Rheinfelden,47.5539,7.7958
Aargau,SMN - Klinik Villa im Park,clinic: Miscellaneous,616.0,5079.0,390.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.38,12.91,56.92,,,,,,,,,Rothrist,47.3028,7.8833
Aargau,SMN - Klinik Villa im Park,clinic: Miscellaneous,616.0,5079.0,390.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.38,12.91,56.92,,,,,,,,,Rothrist,47.3028,7.8833
Aargau,SMN - Klinik Villa im Park,clinic: Miscellaneous,616.0,5079.0,390.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87,14.92,70.85,,,,,,,,,Rothrist,47.3028,7.8833
Aargau,SMN - Klinik Villa im Park,clinic: Miscellaneous,616.0,5079.0,390.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.87,14.92,70.85,,,,,,,,,Rothrist,47.3028,7.8833
Appenzell Innerrhoden,Kantonales Spital Appenzell,Hospital lvl5,5947.0,3062.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,23.84,20.96,66.8,,,,,,,,,Appenzell,47.3306,9.4086
Appenzell Innerrhoden,Kantonales Spital Appenzell,Hospital lvl5,5947.0,3062.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,23.84,20.96,66.8,,,,,,,,,Appenzell,47.3306,9.4086
Appenzell Innerrhoden,Kantonales Spital Appenzell,Hospital lvl5,5947.0,3062.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,22.18,21.24,60.44,,,,,,,,,Appenzell,47.3306,9.4086
Appenzell Innerrhoden,Kantonales Spital Appenzell,Hospital lvl5,5947.0,3062.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,22.18,21.24,60.44,,,,,,,,,Appenzell,47.3306,9.4086
Appenzell Innerrhoden,Hof Weissbad AG Nachbehandlungs-Zentrum,Rehabilitation clinic,0.0,6558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,9.39,12.04,140.63,,,,,,,,,Weissbad,,
Appenzell Innerrhoden,Hof Weissbad AG Nachbehandlungs-Zentrum,Rehabilitation clinic,0.0,6558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,0.0,9.39,12.04,140.63,,,,,,,,,Weissbad,,
Appenzell Innerrhoden,Hof Weissbad AG Nachbehandlungs-Zentrum,Rehabilitation clinic,0.0,6558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,6.55,13.61,172.65,,,,,,,,,Weissbad,,
Appenzell Innerrhoden,Hof Weissbad AG Nachbehandlungs-Zentrum,Rehabilitation clinic,0.0,6558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,6.55,13.61,172.65,,,,,,,,,Weissbad,,
Appenzell Ausserrhoden,"Spitalverbund Appenzell Ausserrhoden, Akutsomatisches Spital Heiden/Herisau",Hospital lvl3,45776.0,29483.0,993.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,77.47,32.9,213.42,82.03,475.04,,,365.0,418.0,2.0,4.0,270.909090909091,13.5454545454545,Herisau,47.3851,9.2786
